12751,1429.411904761905
13808,1336.4452380952382
89805,775.2595238095241
6940,738.7928571428573
3998,727.4785714285714
35376,506.3333333333333
16358,356.0
88,295.0
2014,175.1547619047619
677,164.82142857142858
64911,159.45238095238096
32972,131.56666666666666
511,99.43333333333332
37532,98.0
2177,94.5
14615,89.0
7690,88.0
1276,87.16666666666666
11921,70.32142857142857
2417,66.13333333333334
32204,65.63333333333334
1988,56.633333333333326
26398,55.63333333333332
349,52.33333333333333
9964,51.0
7533,44.0
503,42.0
14577,36.0
50901,34.63333333333333
213,34.1547619047619
19913,26.5
6241,24.999999999999996
27483,11.0
5226,10.833333333333332
3549,1.5
11991,0.0
9797,0.0
335,0.0
43,0.0
5193,0.0
6644,0.0
220,0.0
7274,0.0
16783,0.0
7756,0.0
5011,0.0
3235,0.0
317,0.0
2055,0.0
54207,0.0
11946,0.0
206,0.0
14602,0.0
15,0.0
2662,0.0
81,0.0
310,0.0
2156,0.0
8,0.0
2994,0.0
2010,0.0
13813,0.0
14572,0.0
27029,0.0
205,0.0
4259,0.0
71,0.0
14454,0.0
383,0.0
11792,0.0
12281,0.0
5005,0.0
8767,0.0
12389,0.0
294416,0.0
59195,0.0
28476,0.0
248,0.0
18431,0.0
519,0.0
42,0.0
26677,0.0
3604,0.0
6948,0.0
2237,0.0
3369,0.0
69237,0.0
22990,0.0
138,0.0
216,0.0
9021,0.0
5245,0.0
26139,0.0
10111,0.0
2164,0.0
16460,0.0
5907,0.0
301,0.0
28076,0.0
6929,0.0
